City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kuandian,CN,40.7286,124.7847,83.28,68,100,3.85,overcast clouds
1,Tefe,BR,-3.3542,-64.7114,75.51,88,64,2.44,broken clouds
2,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.18,52,76,1.92,broken clouds
3,Bluff,NZ,-46.6,168.3333,56.8,64,34,6.31,scattered clouds
4,Ostrovnoy,RU,68.0531,39.5131,43.29,95,100,25.32,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,37.06,75,90,10.36,overcast clouds
6,Carnarvon,AU,-24.8667,113.6333,62.67,56,91,11.5,overcast clouds
7,Talnakh,RU,69.4865,88.3972,67.82,74,100,22.06,light rain
8,Saint-Joseph,RE,-21.3667,55.6167,64.78,68,19,6.98,few clouds
9,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,8.05,broken clouds
10,Deputatskiy,RU,69.3,139.9,61.95,50,89,10.33,overcast clouds
11,Ahipara,NZ,-35.1667,173.1667,59.4,59,0,4.27,clear sky
12,Chama,CH,47.1821,8.4636,70.05,83,75,0.0,broken clouds
13,Gushikawa,JP,26.3544,127.8686,80.6,91,90,26.46,moderate rain
14,Mataura,NZ,-46.1927,168.8643,56.48,67,14,4.12,few clouds
15,Rudbar,AF,30.15,62.6,88.34,17,1,7.74,clear sky
16,Port Elizabeth,ZA,-33.918,25.5701,43.09,87,0,4.61,clear sky
17,Paungde,MM,18.4833,95.5,82.26,82,98,4.81,overcast clouds
18,Ribeira Grande,PT,38.5167,-28.7,70.9,95,96,7.27,overcast clouds
19,Sulangan,PH,11.1373,123.7228,84.7,72,99,16.98,overcast clouds
20,Lorengau,PG,-2.0226,147.2712,83.93,79,93,9.82,overcast clouds
21,Rikitea,PF,-23.1203,-134.9692,70.25,58,9,12.35,clear sky
22,Butaritari,KI,3.0707,172.7902,83.26,76,4,16.46,light rain
23,Ponta Do Sol,PT,32.6667,-17.1,71.71,77,1,5.88,clear sky
24,Barrow,US,71.2906,-156.7887,39.22,87,90,14.97,overcast clouds
25,Atuona,PF,-9.8,-139.0333,77.11,78,31,11.12,scattered clouds
26,Montpellier,FR,43.6109,3.8772,75.88,94,90,6.91,overcast clouds
27,Daru,PG,-9.0763,143.2092,79.72,78,100,9.75,overcast clouds
28,Hermanus,ZA,-34.4187,19.2345,48.9,63,0,7.92,clear sky
29,Guantanamo,CU,20.1444,-75.2092,84.27,84,94,4.45,overcast clouds
30,Colares,PT,38.7992,-9.4469,65.28,78,16,4.0,few clouds
31,Tasiilaq,GL,65.6145,-37.6368,42.96,99,100,2.77,light rain
32,Saint Marys,US,30.7305,-81.5465,82.51,74,75,1.99,broken clouds
33,Guerrero Negro,MX,27.9769,-114.0611,71.71,78,56,16.2,broken clouds
34,Kaitangata,NZ,-46.2817,169.8464,53.92,51,14,5.64,few clouds
35,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,49,0,14.97,clear sky
36,Nizhniy Kuranakh,RU,58.8353,125.4869,59.77,99,100,5.66,moderate rain
37,Marsh Harbour,BS,26.5412,-77.0636,82.87,72,100,10.4,overcast clouds
38,San Quintin,MX,30.4833,-115.95,70.43,80,96,9.66,overcast clouds
39,Yamada,JP,39.4667,141.95,80.58,75,73,7.63,broken clouds
40,Raga,SS,8.4596,25.678,69.55,93,99,4.23,overcast clouds
41,Avarua,CK,-21.2078,-159.775,78.85,65,20,12.66,few clouds
42,Kodiak,US,57.79,-152.4072,56.71,82,90,9.22,overcast clouds
43,Jiaozuo,CN,35.2397,113.2331,79.2,82,82,5.12,broken clouds
44,Saint-Philippe,RE,-21.3585,55.7679,65.79,71,37,5.53,scattered clouds
45,Albany,US,42.6001,-73.9662,64.63,85,0,4.12,clear sky
46,Bethel,US,41.3712,-73.414,72.18,80,1,3.44,clear sky
47,Manokwari,ID,-0.8667,134.0833,76.93,86,100,3.96,overcast clouds
48,Mahebourg,MU,-20.4081,57.7,68.25,94,75,6.91,light rain
49,Stephenville,US,32.2207,-98.2023,87.89,52,1,6.91,clear sky
50,Yellowknife,CA,62.456,-114.3525,66.72,77,90,3.44,thunderstorm with light rain
51,Springdale,US,36.1867,-94.1288,84.33,73,1,4.61,clear sky
52,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,27.63,light rain
53,Pevek,RU,69.7008,170.3133,40.21,93,90,5.61,overcast clouds
54,Cape Town,ZA,-33.9258,18.4232,49.12,82,0,5.75,clear sky
55,Gamba,GA,-2.65,10.0,70.47,83,82,1.9,broken clouds
56,Ca Mau,VN,9.1769,105.15,86.36,70,92,10.98,overcast clouds
57,Khatanga,RU,71.9667,102.5,57.99,55,98,5.46,overcast clouds
58,Hithadhoo,MV,-0.6,73.0833,80.82,74,74,2.01,broken clouds
59,Busselton,AU,-33.65,115.3333,57.04,71,100,14.0,overcast clouds
60,Strezhevoy,RU,60.7333,77.5889,71.58,62,25,10.96,scattered clouds
61,Salawagan,PH,7.7053,125.115,84.0,65,26,6.53,scattered clouds
62,Vardo,NO,70.3705,31.1107,46.02,82,100,36.48,overcast clouds
63,Puerto Ayora,EC,-0.7393,-90.3518,72.55,86,43,1.99,scattered clouds
64,Nara,JP,34.6851,135.8049,90.97,43,24,3.22,few clouds
65,Soyo,AO,-6.1349,12.3689,69.46,87,44,2.86,scattered clouds
66,Bairiki,KI,1.3292,172.9752,87.8,66,20,16.11,few clouds
67,Souillac,MU,-20.5167,57.5167,68.36,94,75,6.91,broken clouds
68,Mount Isa,AU,-20.7333,139.5,73.17,27,0,5.75,clear sky
69,Georgetown,MY,5.4112,100.3354,86.9,84,20,3.0,moderate rain
70,Kovdor,RU,67.5662,30.4758,44.31,80,100,12.06,overcast clouds
71,Hilo,US,19.7297,-155.09,86.29,83,90,10.36,light rain
72,Santa Luzia,BR,-19.7697,-43.8514,61.88,63,0,3.44,clear sky
73,Airai,TL,-8.9266,125.4092,75.61,21,54,4.38,broken clouds
74,Codrington,AU,-38.2667,141.9667,51.4,78,46,16.28,scattered clouds
75,Bengkulu,ID,-3.8004,102.2655,81.03,71,100,1.23,overcast clouds
76,Blackpool,GB,53.8167,-3.05,62.62,90,100,9.71,overcast clouds
77,Verkhnetulomskiy,RU,68.6073,31.7962,44.73,79,100,16.08,overcast clouds
78,Giaveno,IT,45.047,7.3492,72.86,79,9,1.99,clear sky
79,Kapaa,US,22.0752,-159.319,84.18,83,90,1.99,light rain
80,Provideniya,RU,64.3833,-173.3,54.86,71,100,7.74,overcast clouds
81,Kaeo,NZ,-35.1,173.7833,58.53,68,3,5.28,clear sky
82,Namatanai,PG,-3.6667,152.4333,84.79,69,45,7.45,scattered clouds
83,Qaanaaq,GL,77.484,-69.3632,40.05,75,83,2.24,broken clouds
84,Shimoda,JP,34.6667,138.95,86.11,70,9,7.36,clear sky
85,Saskylakh,RU,71.9167,114.0833,54.36,73,100,15.77,overcast clouds
86,Hanko,FI,59.8333,22.95,55.83,66,3,11.97,clear sky
87,Claudio,BR,-20.4433,-44.7658,53.4,71,0,4.38,clear sky
88,Kalangala,UG,-0.3089,32.225,67.35,62,100,10.69,light rain
89,Tomiya,JP,38.3931,140.8861,84.78,71,85,7.18,overcast clouds
90,Castro,BR,-24.7911,-50.0119,50.61,80,0,3.67,clear sky
91,Vaini,TO,-21.2,-175.2,82.56,83,20,5.75,few clouds
92,Almeirim,BR,-1.5233,-52.5817,75.31,72,32,4.25,scattered clouds
93,Hobart,AU,-42.8794,147.3294,54.23,71,75,5.01,broken clouds
94,Coihaique,CL,-45.5752,-72.0662,39.15,81,75,8.05,broken clouds
95,Marigot,MF,18.0667,-63.0833,82.18,83,75,11.5,broken clouds
96,Guarapari,BR,-20.6667,-40.4975,64.29,70,69,2.57,broken clouds
97,Harrison,US,30.4091,-89.0436,86.05,83,20,0.0,few clouds
98,Faanui,PF,-16.4833,-151.75,78.06,67,23,12.66,few clouds
99,Rio Grande,BR,-32.035,-52.0986,59.76,87,0,7.65,light rain
100,Constitucion,CL,-35.3333,-72.4167,52.38,81,86,3.49,overcast clouds
101,Riyadh,SA,24.6877,46.7219,87.94,21,44,5.35,scattered clouds
102,Luderitz,NA,-26.6481,15.1594,62.92,24,16,22.44,few clouds
103,Port Alfred,ZA,-33.5906,26.891,50.88,68,45,5.28,scattered clouds
104,Victoria,HK,22.2855,114.1577,89.96,86,5,4.0,clear sky
105,Ayan,RU,56.45,138.1667,59.67,89,79,13.38,broken clouds
106,Capao Da Canoa,BR,-29.7456,-50.0097,61.11,76,0,3.94,clear sky
107,Bonavista,CA,48.6499,-53.1147,55.11,97,100,9.35,overcast clouds
108,Chokurdakh,RU,70.6333,147.9167,47.08,60,98,14.47,overcast clouds
109,Jamestown,US,42.097,-79.2353,67.64,59,40,4.61,scattered clouds
110,Alamosa,US,37.4695,-105.87,69.78,56,40,9.22,scattered clouds
111,Nikolskoye,RU,59.7035,30.7861,54.01,74,91,4.09,overcast clouds
112,Ushibuka,JP,32.1906,130.0228,84.31,67,100,10.42,overcast clouds
113,Tiksi,RU,71.6872,128.8694,46.44,80,52,9.1,broken clouds
114,Qasigiannguit,GL,68.8193,-51.1922,39.6,89,100,7.92,light rain
115,Arraial Do Cabo,BR,-22.9661,-42.0278,62.56,88,0,5.75,clear sky
116,Ixtapa,MX,20.7,-105.2,79.99,91,73,1.74,broken clouds
117,Sretensk,RU,52.2453,117.7093,70.41,56,25,8.01,scattered clouds
118,Barcelos,PT,41.5388,-8.6151,62.85,95,40,2.17,scattered clouds
119,Peruibe,BR,-24.32,-46.9983,58.71,90,0,3.87,clear sky
120,Geraldton,AU,-28.7667,114.6,59.41,88,75,10.36,broken clouds
121,Jurado,CO,7.1053,-77.7641,77.72,91,100,6.15,light rain
122,Cuamba,MZ,-14.8031,36.5372,60.15,78,56,9.69,broken clouds
123,Itarema,BR,-2.9248,-39.9167,78.87,77,37,15.1,scattered clouds
124,Isabela,PH,6.7085,121.9711,87.85,65,23,5.88,few clouds
125,Dikson,RU,73.5069,80.5464,44.55,74,100,24.14,overcast clouds
126,Egvekinot,RU,66.3167,-179.1667,46.72,87,100,4.43,overcast clouds
127,Le Vauclin,MQ,14.5452,-60.8388,79.84,89,90,2.3,overcast clouds
128,Talaya,RU,61.3833,152.75,57.74,82,100,5.21,overcast clouds
129,Humaita,BR,-7.5061,-63.0208,76.46,50,21,1.61,few clouds
130,La Asuncion,VE,11.0333,-63.8628,80.33,83,66,11.5,broken clouds
131,Bitung,ID,1.4451,125.1824,90.45,64,90,15.01,overcast clouds
132,Bolgar,RU,54.95,49.0667,58.91,74,63,11.21,broken clouds
133,Jinchang,CN,38.4953,102.1739,84.4,38,28,6.76,scattered clouds
134,Stalskoye,RU,43.1873,46.9672,74.75,82,74,10.02,broken clouds
135,Zhigansk,RU,66.7697,123.3711,73.13,40,90,9.71,overcast clouds
136,Esperance,AU,-33.8667,121.9,53.44,76,90,20.65,light rain
137,Cayenne,GF,4.9333,-52.3333,81.09,81,0,3.0,clear sky
138,Bredasdorp,ZA,-34.5322,20.0403,45.28,87,0,6.91,clear sky
139,Mount Gambier,AU,-37.8333,140.7667,53.51,82,21,13.8,few clouds
140,Grindavik,IS,63.8424,-22.4338,55.56,100,90,21.85,overcast clouds
141,Celestun,MX,20.8667,-90.4,81.86,79,100,14.88,overcast clouds
142,Peniche,PT,39.3558,-9.3811,64.72,91,64,8.99,broken clouds
143,Litovko,RU,49.2361,135.1742,93.09,43,88,11.41,overcast clouds
144,Dzaoudzi,YT,-12.7887,45.2699,76.89,78,0,14.97,clear sky
145,Malibu,US,34.005,-118.8101,91.65,77,9,8.95,clear sky
146,Birin,NP,26.8865,88.0718,68.88,86,20,5.75,few clouds
147,East London,ZA,-33.0153,27.9116,52.34,62,89,3.53,overcast clouds
148,Katsuura,JP,35.1333,140.3,87.84,69,10,8.95,clear sky
149,Saint-Pierre,RE,-21.3393,55.4781,65.88,62,0,8.05,clear sky
150,Kavieng,PG,-2.5744,150.7967,85.3,70,100,14.43,overcast clouds
151,Nioro,GM,13.35,-15.75,73.44,80,66,4.56,broken clouds
152,Vaasa,FI,63.096,21.6158,58.95,87,0,2.3,clear sky
153,Hasaki,JP,35.7333,140.8333,88.29,71,10,9.35,clear sky
154,Auki,SB,-8.7676,160.7034,83.46,75,40,2.62,scattered clouds
155,Ambulu,ID,-8.345,113.6058,80.42,61,9,3.89,clear sky
156,Sitka,US,57.0531,-135.33,57.09,82,90,11.5,light rain
157,Terenos,BR,-20.4422,-54.8603,74.91,40,0,10.36,clear sky
158,Pisco,PE,-13.7,-76.2167,62.65,77,90,16.11,overcast clouds
159,Turayf,SA,31.6725,38.6637,73.65,73,0,11.5,clear sky
160,Spearfish,US,44.4908,-103.8594,84.42,34,1,1.01,clear sky
161,Mar Del Plata,AR,-38.0023,-57.5575,51.82,64,40,20.0,scattered clouds
162,Torbay,CA,47.6666,-52.7314,57.76,98,90,3.44,fog
163,Moncagua,SV,13.5333,-88.25,82.31,59,100,2.39,overcast clouds
164,Fort Nelson,CA,58.8053,-122.7002,69.39,43,75,6.91,broken clouds
165,Zhezkazgan,KZ,47.8043,67.7144,81.95,28,0,1.25,clear sky
166,Lasa,IT,46.6166,10.7002,65.66,72,100,2.62,overcast clouds
167,Labytnangi,RU,66.6572,66.4183,54.52,70,81,5.79,broken clouds
168,Nkowakowa,ZA,-23.8878,30.2871,33.85,72,0,3.42,clear sky
169,Odweyne,SO,9.4092,45.064,72.84,52,100,19.66,overcast clouds
170,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,94,75,12.03,broken clouds
171,Kruisfontein,ZA,-34.0033,24.7314,39.88,81,3,5.77,clear sky
172,Kattivakkam,IN,13.2167,80.3167,82.49,69,100,15.59,overcast clouds
173,Nur,PL,52.6683,22.3221,58.75,86,20,1.88,few clouds
174,El Carmen,CO,8.5106,-73.4478,71.55,86,100,3.42,overcast clouds
175,Alofi,NU,-19.0595,-169.9187,80.49,78,14,11.5,few clouds
176,Chegdomyn,RU,51.1167,133.0167,88.74,43,53,8.81,broken clouds
