City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chichibu,JP,2021-07-24 02:02:22,35.9903,139.0764,90.81,69,53,5.99
1,Gravelbourg,CA,2021-07-24 02:02:22,49.8834,-106.5512,77.16,19,0,8.61
2,East London,ZA,2021-07-24 01:58:13,-33.0153,27.9116,52.34,62,89,3.53
3,Kapaa,US,2021-07-24 02:02:23,22.0752,-159.319,84.18,83,90,3.0
4,Butaritari,KI,2021-07-24 02:02:23,3.0707,172.7902,83.26,76,4,16.46
5,Albany,US,2021-07-24 02:02:23,42.6001,-73.9662,64.92,85,0,4.12
6,Bluff,NZ,2021-07-24 02:02:24,-46.6,168.3333,56.8,64,34,6.31
7,Rikitea,PF,2021-07-24 02:02:24,-23.1203,-134.9692,70.25,58,9,12.35
8,Brae,GB,2021-07-24 02:02:24,60.3964,-1.353,53.51,94,89,6.08
9,Atuona,PF,2021-07-24 02:02:25,-9.8,-139.0333,77.11,78,31,11.12
10,Pevek,RU,2021-07-24 02:02:25,69.7008,170.3133,40.21,93,90,5.61
11,Tvoroyri,FO,2021-07-24 02:02:26,61.5556,-6.8111,51.19,93,10,13.09
12,Ushuaia,AR,2021-07-24 02:02:26,-54.8,-68.3,32.86,88,68,3.94
13,Thompson,CA,2021-07-24 02:01:58,55.7435,-97.8558,66.36,59,75,19.57
14,Port Alfred,ZA,2021-07-24 02:02:27,-33.5906,26.891,50.88,68,45,5.28
15,San Patricio,US,2021-07-24 02:02:27,28.017,-97.5169,85.53,72,0,13.56
16,Teguise,ES,2021-07-24 02:02:28,29.0605,-13.564,68.22,83,0,24.16
17,Punta Arenas,CL,2021-07-24 02:02:28,-53.15,-70.9167,39.11,80,78,20.11
18,Sawakin,SD,2021-07-24 02:02:28,19.1059,37.3321,89.35,48,83,5.5
19,Iqaluit,CA,2021-07-24 02:02:28,63.7506,-68.5145,50.7,62,100,5.99
20,Ilulissat,GL,2021-07-24 02:02:29,69.2167,-51.1,44.62,76,75,6.91
21,Mataura,NZ,2021-07-24 02:02:29,-46.1927,168.8643,56.48,67,14,4.12
22,Vallenar,CL,2021-07-24 01:54:06,-28.5708,-70.7581,54.72,72,0,1.59
23,Nikolskoye,RU,2021-07-24 02:02:30,59.7035,30.7861,54.01,74,91,4.09
24,Iracoubo,GF,2021-07-24 02:02:30,5.4802,-53.2011,77.81,88,70,11.32
25,Bandarbeyla,SO,2021-07-24 02:02:31,9.4942,50.8122,78.8,63,34,30.91
26,Vaini,TO,2021-07-24 02:02:31,-21.2,-175.2,75.87,84,9,9.08
27,Kabare,CD,2021-07-24 02:02:31,-2.4683,28.8242,62.11,73,95,1.7
28,Mangrol,IN,2021-07-24 02:02:31,21.1167,70.1167,82.92,84,100,17.29
29,Nishihara,JP,2021-07-24 01:54:41,26.1842,127.7558,80.65,94,90,33.38
30,Yulara,AU,2021-07-24 01:54:15,-25.2406,130.9889,60.64,36,91,10.36
31,Cherskiy,RU,2021-07-24 02:00:08,68.75,161.3,53.62,57,97,11.23
32,Ngunguru,NZ,2021-07-24 01:59:31,-35.6167,174.5,57.81,70,12,7.23
33,Hobart,AU,2021-07-24 02:00:46,-42.8794,147.3294,55.22,70,75,4.0
34,Hilo,US,2021-07-24 02:00:06,19.7297,-155.09,86.29,83,90,10.36
35,Taltal,CL,2021-07-24 01:52:34,-25.4,-70.4833,56.62,81,99,4.76
36,Namibe,AO,2021-07-24 02:02:32,-15.1961,12.1522,64.38,84,0,3.76
37,Busselton,AU,2021-07-24 01:59:29,-33.65,115.3333,57.04,71,100,14.0
38,Tasiilaq,GL,2021-07-24 02:02:33,65.6145,-37.6368,41.16,99,100,2.77
39,Cidreira,BR,2021-07-24 02:02:33,-30.1811,-50.2056,59.85,81,0,6.62
40,Georgetown,MY,2021-07-24 01:58:06,5.4112,100.3354,86.9,84,20,3.0
41,Poli,TZ,2021-07-24 02:01:11,-3.3333,36.8,51.84,84,10,3.51
42,Yanji,CN,2021-07-24 02:02:34,42.9075,129.5078,92.03,52,78,0.96
43,Bereda,ES,2021-07-24 02:02:34,43.2686,-7.5406,61.41,89,95,6.13
44,Balaipungut,ID,2021-07-24 02:00:06,1.05,101.2833,79.21,80,100,4.16
45,Geraldton,AU,2021-07-24 01:58:02,-28.7667,114.6,59.41,88,75,10.36
46,Tuktoyaktuk,CA,2021-07-24 02:02:35,69.4541,-133.0374,54.0,54,29,14.05
47,Chuy,UY,2021-07-24 02:02:35,-33.6971,-53.4616,58.64,90,11,4.56
48,Nantucket,US,2021-07-24 02:02:28,41.2835,-70.0995,69.96,80,1,0.0
49,Havre,FR,2021-07-24 02:02:36,49.5833,0.3333,70.57,77,0,6.91
50,Hithadhoo,MV,2021-07-24 01:59:29,-0.6,73.0833,80.82,74,74,2.01
51,Bethel,US,2021-07-24 02:01:15,41.3712,-73.414,70.93,84,29,3.6
52,Ribeira Grande,PT,2021-07-24 02:02:36,38.5167,-28.7,70.9,95,96,7.27
53,Nyurba,RU,2021-07-24 02:02:37,63.2842,118.3319,75.63,48,4,5.06
54,Victor Harbor,AU,2021-07-24 02:02:37,-35.5667,138.6167,57.0,75,90,5.01
55,Katangli,RU,2021-07-24 01:54:02,51.7102,143.2326,69.08,82,90,9.26
56,Zhigansk,RU,2021-07-24 02:01:11,66.7697,123.3711,73.13,40,90,9.71
57,Kodiak,US,2021-07-24 02:02:37,57.79,-152.4072,51.87,96,100,10.85
58,New Norfolk,AU,2021-07-24 01:59:56,-42.7826,147.0587,54.88,75,100,1.99
59,Dzaoudzi,YT,2021-07-24 02:02:38,-12.7887,45.2699,76.89,78,0,14.97
60,Calvinia,ZA,2021-07-24 02:02:39,-31.4707,19.776,36.79,53,0,9.55
61,Saint-Philippe,RE,2021-07-24 01:59:34,-21.3585,55.7679,65.79,71,37,5.53
62,Komsomolskiy,UZ,2021-07-24 02:02:39,40.4272,71.7189,81.32,36,0,2.3
63,Jamestown,US,2021-07-24 02:02:23,42.097,-79.2353,67.32,67,1,1.01
64,Cape Town,ZA,2021-07-24 02:02:40,-33.9258,18.4232,48.11,73,0,5.35
65,Upernavik,GL,2021-07-24 02:01:15,72.7868,-56.1549,39.06,95,100,10.09
66,Dunedin,NZ,2021-07-24 02:02:04,-45.8742,170.5036,52.81,51,14,15.99
67,Mar Del Plata,AR,2021-07-24 02:02:40,-38.0023,-57.5575,51.13,57,100,21.0
68,Qui Nhon,VN,2021-07-24 02:02:41,13.7667,109.2333,83.46,68,100,15.9
69,Sioux Lookout,CA,2021-07-24 02:02:41,50.1001,-91.917,75.4,65,33,2.46
70,Hermanus,ZA,2021-07-24 02:02:42,-34.4187,19.2345,47.89,63,0,7.92
71,Nanortalik,GL,2021-07-24 02:02:42,60.1432,-45.2371,42.19,89,83,10.83
72,Nivala,FI,2021-07-24 02:02:43,63.9167,24.9667,47.68,89,30,3.69
73,Mahon,ES,2021-07-24 02:02:43,39.8885,4.2658,79.36,78,0,10.36
74,Lompoc,US,2021-07-24 02:02:43,34.6391,-120.4579,78.21,80,90,10.36
75,Lerik,AZ,2021-07-24 02:02:44,38.7726,48.4128,64.11,83,1,4.38
76,Mahibadhoo,MV,2021-07-24 01:54:49,3.7833,72.9667,82.35,76,74,9.98
77,Hovd,MN,2021-07-24 02:02:44,48.0056,91.6419,74.16,42,1,0.38
78,Guarapari,BR,2021-07-24 02:02:45,-20.6667,-40.4975,65.23,70,69,2.57
79,Gardone Val Trompia,IT,2021-07-24 02:02:45,45.6942,10.187,75.16,79,100,4.65
80,San Andres,CO,2021-07-24 01:49:12,12.5847,-81.7006,82.42,83,75,11.5
81,Ketchikan,US,2021-07-24 02:02:46,55.3422,-131.6461,54.57,98,100,3.42
82,Serebriya,UA,2021-07-24 02:02:46,48.4559,27.7192,57.74,80,4,4.0
83,Talnakh,RU,2021-07-24 02:02:46,69.4865,88.3972,67.82,74,100,22.06
84,Torbay,CA,2021-07-24 02:02:47,47.6666,-52.7314,57.76,98,100,7.16
85,Russell,US,2021-07-24 02:00:14,32.3502,-85.1999,80.51,93,15,3.53
86,Shizunai,JP,2021-07-24 02:02:47,42.3339,142.3669,74.07,85,95,7.18
87,Ondjiva,AO,2021-07-24 02:02:48,-17.0667,15.7333,46.62,20,0,7.63
88,Zalakomar,HU,2021-07-24 02:02:48,46.538,17.1809,66.74,94,0,0.0
89,Gwadar,PK,2021-07-24 01:58:08,25.1216,62.3254,82.11,87,64,4.52
90,Kahului,US,2021-07-24 01:57:54,20.8947,-156.47,84.97,80,19,15.01
91,Codrington,AU,2021-07-24 02:02:49,-38.2667,141.9667,51.4,78,46,16.28
92,Yellowknife,CA,2021-07-24 01:59:47,62.456,-114.3525,66.72,77,90,3.0
93,Sakakah,SA,2021-07-24 02:00:21,29.9697,40.2064,83.79,33,0,8.46
94,Nioro,GM,2021-07-24 02:02:49,13.35,-15.75,73.44,80,66,4.56
95,Navlya,RU,2021-07-24 02:02:50,52.8281,34.4989,59.14,90,64,4.03
96,Omboue,GA,2021-07-24 02:02:50,-1.5746,9.2618,72.7,81,100,4.85
97,Oktyabrskiy,RU,2021-07-24 02:02:51,54.4815,53.471,63.41,59,92,2.68
98,Yarim,YE,2021-07-24 02:02:51,14.298,44.3779,57.99,71,100,4.18
99,Vila Velha,BR,2021-07-24 01:54:14,-20.3297,-40.2925,64.35,82,75,2.3
100,Cowra,AU,2021-07-24 02:02:51,-33.8333,148.6833,48.27,93,100,12.33
101,Kavaratti,IN,2021-07-24 01:50:59,10.5669,72.642,82.02,82,100,20.13
102,Olafsvik,IS,2021-07-24 02:02:52,64.8945,-23.7142,52.59,98,100,10.85
103,Caernarfon,GB,2021-07-24 02:02:52,53.1413,-4.2702,62.33,69,99,4.61
104,Teya,RU,2021-07-24 02:02:53,60.3778,92.6267,76.51,45,1,2.8
105,Praia Da Vitoria,PT,2021-07-24 02:02:53,38.7333,-27.0667,71.76,95,75,12.03
106,Longyearbyen,SJ,2021-07-24 02:00:41,78.2186,15.6401,42.42,84,69,4.03
107,Bredasdorp,ZA,2021-07-24 02:02:54,-34.5322,20.0403,45.28,82,0,5.59
108,Conakry,GN,2021-07-24 02:02:54,9.538,-13.6773,77.76,85,93,6.08
109,Hidalgotitlan,MX,2021-07-24 02:02:54,17.7833,-94.6333,76.86,83,68,7.61
110,Tual,ID,2021-07-24 02:02:55,-5.6667,132.75,79.59,80,100,14.99
111,Kudahuvadhoo,MV,2021-07-24 02:02:55,2.6708,72.8944,82.26,78,100,12.44
112,Tuatapere,NZ,2021-07-24 01:54:30,-46.1333,167.6833,56.82,66,87,5.14
113,Shenjiamen,CN,2021-07-24 02:02:56,29.9576,122.298,76.96,94,100,30.51
114,Arraial Do Cabo,BR,2021-07-24 02:02:56,-22.9661,-42.0278,69.15,70,0,19.1
115,Chokurdakh,RU,2021-07-24 02:02:56,70.6333,147.9167,47.08,60,98,14.47
116,Nanzhou,CN,2021-07-24 02:02:57,29.3596,112.4024,83.5,80,100,11.1
117,Hasaki,JP,2021-07-24 02:02:57,35.7333,140.8333,90.28,71,10,9.35
118,Padang,ID,2021-07-24 02:02:58,-0.9492,100.3543,78.85,69,100,1.5
119,Marawi,PH,2021-07-24 02:02:58,7.9986,124.2928,86.65,52,11,7.36
120,Avarua,CK,2021-07-24 02:02:58,-21.2078,-159.775,78.85,65,20,12.66
121,Lagoa,PT,2021-07-24 02:02:02,39.05,-27.9833,69.78,95,91,11.7
122,Igarka,RU,2021-07-24 02:02:59,67.4667,86.5833,69.6,76,72,19.98
123,Ponta Do Sol,PT,2021-07-24 02:02:59,32.6667,-17.1,72.01,77,1,5.88
124,Melbu,NO,2021-07-24 02:03:00,68.5044,14.8297,53.31,94,100,5.88
125,Beihai,CN,2021-07-24 02:03:00,21.4833,109.1,85.41,76,8,4.41
126,Wenling,CN,2021-07-24 02:00:41,28.3669,121.36,76.17,93,100,27.09
127,Noumea,NC,2021-07-24 02:00:05,-22.2763,166.4572,80.58,99,0,9.46
128,Port Lincoln,AU,2021-07-24 02:03:01,-34.7333,135.8667,54.18,72,100,30.98
129,Kuito,AO,2021-07-24 02:03:01,-12.3833,16.9333,46.69,30,91,3.53
130,Evinayong,GQ,2021-07-24 02:03:01,1.4368,10.5512,66.36,99,99,2.01
131,Kolokani,ML,2021-07-24 02:03:02,13.5728,-8.0339,76.26,78,44,7.31
132,Port Blair,IN,2021-07-24 02:01:36,11.6667,92.75,82.31,83,100,21.83
133,Puerto Ayora,EC,2021-07-24 02:03:02,-0.7393,-90.3518,72.55,85,43,4.0
134,Castro,BR,2021-07-24 01:58:12,-24.7911,-50.0119,50.61,80,0,3.67
135,Barrow,US,2021-07-24 02:03:03,71.2906,-156.7887,37.42,87,90,14.97
136,Ostrovnoy,RU,2021-07-24 02:03:03,68.0531,39.5131,43.29,95,100,25.32
137,Kourou,GF,2021-07-24 02:03:04,5.1552,-52.6478,81.1,90,47,10.07
138,Roald,NO,2021-07-24 02:02:33,62.5833,6.1333,57.33,94,44,10.36
139,Clovis,US,2021-07-24 02:03:05,36.8252,-119.7029,102.16,18,20,1.99
